Rank,Name,Link,Location_City,Location_State,Private_Public,Profit_Type,Campus_Setting,Starting_Salary,Percent_from_State,Percent_FTE,Percent_Male,Accept_rate,Old_SAT_Score,New_SAT_Score,ACT_Score,Num_Undergrad,Num_Faculty,Student_Faculty_Ratio,Num_Degree,Num_Major,Num_Field,Num_Annual_Grad,Percent_POC,Tuition_Fee,Room_Fee,Total_Cost,Financial_Aid
361,The Juilliard School,the-juilliard-school,New York, New York,Private,Non-Profit,Large City,,14,37,54,5.9,,,,566,335,5,10,3,1,121,63.427561837455826,43170,15990,62600,29417
362,Cedarville University,cedarville-university,Cedarville, Ohio,Private,Non-Profit,Small Town,40000.0,38,65,47,71.4,,,26.0,3535,338,14,83,59,25,730,15.983026874115977,29156,7088,39194,14155
363,Covenant College,covenant-college,Lookout Mountain, Georgia,Private,Non-Profit,Rural,,34,66,47,95.2,,,27.0,1030,98,13,29,26,16,242,14.466019417475733,33170,9910,45920,21187
364,Salve Regina University,salve-regina-university,Newport, Rhode Island,Private,Non-Profit,Large Suburb,41000.0,15,46,33,71.9,,,,2180,282,14,41,36,21,477,19.174311926605498,38986,14060,56746,20902
365,University of Colorado Denver/Anschutz Medical Campus,university-of-colorado-denver,Denver, Colorado,Public,,Large City,40000.0,89,61,45,65.2,,,24.0,15586,1559,17,38,36,22,2437,51.520595406133715,9107,11601,27962,6251
366,Sacred Heart University,sacred-heart-university,Fairfield, Connecticut,Private,Non-Profit,Large Suburb,44000.0,27,34,36,60.3,,,,5603,858,14,35,32,18,1218,26.71782973407103,39820,14770,58440,15472
367,Rockhurst University,rockhurst-university,Kansas City, Missouri,Private,Non-Profit,Large City,43000.0,66,50,39,72.5,,,24.0,2208,263,13,36,31,18,509,29.07608695652173,36590,9360,51631,26031
368,Saint Vincent College,saint-vincent-college,Latrobe, Pennsylvania,Private,Non-Profit,Large Suburb,,78,54,55,61.9,,,23.0,1667,191,11,45,38,19,422,16.79664067186563,34430,11399,48879,25507
369,Millsaps College,millsaps-college,Jackson, Mississippi,Private,Non-Profit,Midsize City,,39,81,51,48.9,,,25.0,807,108,9,37,33,17,151,30.235439900867405,38930,13400,55322,29468
370,North Dakota State University - Main Campus,north-dakota-state-university-main-campus,Fargo, North Dakota,Public,,Midsize City,38000.0,35,86,54,91.6,,,24.0,11984,646,20,104,76,24,2400,13.826769025367154,8546,8586,21332,4666
371,University of Central Florida,university-of-central-florida,Orlando, Florida,Public,,Large Suburb,36000.0,92,69,46,49.9,,,26.0,56853,2004,30,82,60,23,13667,50.9981883102035,6368,9764,22254,5757
372,University of California - Merced,university-of-california-merced,Merced, California,Public,,Rural,,100,90,49,69.8,,,24.0,7375,390,20,23,22,12,1338,89.76271186440678,13598,16790,35676,23444
373,West Chester University of Pennsylvania,west-chester-university-of-pennsylvania,West Chester, Pennsylvania,Public,,Large Suburb,39000.0,85,71,41,68.5,,,24.0,14451,983,19,51,45,20,3680,24.475814822503622,10111,12942,26773,5743
374,Western Washington University,western-washington-university,Bellingham, Washington,Public,,Small City,40000.0,84,67,44,84.8,,,25.0,14968,953,18,99,67,23,3608,28.681186531266704,7933,10971,23305,6500
375,Cornell College,cornell-college,Mount Vernon, Iowa,Private,Non-Profit,Small Town,35000.0,19,90,51,65.0,,,26.0,1009,105,11,52,39,19,260,29.83151635282458,40880,9110,55954,26957
376,Carroll College,carroll-college,Helena, Montana,Private,Non-Profit,Small Town,39000.0,38,63,40,77.8,,,25.0,1362,143,11,55,43,21,308,21.365638766519822,34480,9608,48538,20475
377,Ohio Wesleyan University,ohio-wesleyan-university,Delaware, Ohio,Private,Non-Profit,Large Suburb,36000.0,56,58,47,71.4,,,,1560,245,9,76,53,23,490,31.794871794871803,44690,12460,60350,31028
378,University of Mississippi,university-of-mississippi-main-campus,University, Mississippi,Public,,Small Town,38000.0,43,79,44,83.9,,,26.0,18737,1361,18,75,65,22,4172,22.76244863105086,8300,10502,24822,9642
379,University of Cincinnati - Main Campus,university-of-cincinnati-main-campus,Cincinnati, Ohio,Public,,Large City,41000.0,86,57,51,76.5,,,26.0,26559,2459,16,116,90,28,5700,25.979893821303506,11000,11118,28156,7045
380,SUNY Polytechnic Institute,suny-institute-of-technology-at-utica-rome,Utica, New York,Public,,Midsize Suburb,,96,51,66,62.5,,,24.0,2179,275,13,29,27,12,501,26.20468104635154,7998,12440,23838,7923
381,University of Northern Iowa,university-of-northern-iowa,Cedar Falls, Iowa,Public,,Small City,37000.0,92,78,43,80.8,,,24.0,9961,703,18,107,71,25,2427,17.829535187230192,8699,8781,21330,4677
382,Nova Southeastern University,nova-southeastern-university,Fort Lauderdale, Florida,Private,Non-Profit,Large Suburb,41000.0,61,37,29,58.2,,,26.0,4497,982,17,59,45,23,1263,65.53257727373804,29880,12550,49099,19075
383,University of Wisconsin - La Crosse,university-of-wisconsin-la-crosse,La Crosse, Wisconsin,Public,,Small City,38000.0,81,84,44,73.4,,,24.0,9705,567,19,46,41,19,2141,10.510046367851631,9096,6206,17386,2975
384,Saint Francis University,saint-francis-university,Loretto, Pennsylvania,Private,Non-Profit,Small Town,36000.0,74,59,37,75.7,,,24.0,2117,243,14,65,54,23,407,17.902692489371763,35066,11928,51994,19546
385,Art Center College of Design,art-center-college-of-design,Pasadena, California,Private,Non-Profit,Midsize City,,85,24,46,70.4,,,,2005,475,9,11,8,5,400,83.74064837905237,42008,13530,66030,16766
386,Hendrix College,hendrix-college,Conway, Arkansas,Private,Non-Profit,Small City,,61,74,48,79.8,,,28.0,1238,153,11,34,32,18,361,29.96768982229402,44070,11926,60096,35974
