Rank,Name,Link,Location_City,Location_State,Private_Public,Profit_Type,Campus_Setting,Starting_Salary,Percent_from_State,Percent_FTE,Percent_Male,Accept_rate,Old_SAT_Score,New_SAT_Score,ACT_Score,Num_Undergrad,Num_Faculty,Student_Faculty_Ratio,Num_Degree,Num_Major,Num_Field,Num_Annual_Grad,Percent_POC,Tuition_Fee,Room_Fee,Total_Cost,Financial_Aid
276,University of Nebraska - Lincoln,university-of-nebraska-lincoln,Lincoln, Nebraska,Public,,Large City,39000.0,76,93,52,64.4,,,26.0,20954,1419,21,143,97,27,4265,25.245776462727875,8978,11044,25062,8538
277,Embry Riddle Aeronautical University - Daytona Beach,embry-riddle-aeronautical-university-daytona-beach,Daytona Beach, Florida,Private,Non-Profit,Small City,,35,86,78,74.9,,,25.0,5729,367,17,25,21,13,1003,44.632571129341954,34822,11100,51828,15100
278,Susquehanna University,susquehanna-university,Selinsgrove, Pennsylvania,Private,Non-Profit,Small Town,40000.0,53,61,44,69.5,,,,2351,232,13,59,48,17,517,21.905572096980013,45470,12090,59780,30386
279,Lake Forest College,lake-forest-college,Lake Forest, Illinois,Private,Non-Profit,Large Suburb,,60,56,43,53.0,,,,1508,177,12,33,28,17,509,42.705570291777185,45548,10052,58675,31022
280,Adelphi University,adelphi-university,Garden City, New York,Private,Non-Profit,Large Suburb,45000.0,91,32,32,73.1,,,24.0,5266,1062,11,48,41,22,1287,49.183440941891384,37170,15120,56358,20425
281,Le Moyne College,le-moyne-college,Syracuse, New York,Private,Non-Profit,Large Suburb,41000.0,94,50,40,63.9,,,24.0,2788,335,13,33,30,16,695,23.02725968436154,33905,13400,49995,22291
282,Southern California Institute of Architecture,southern-california-institute-of-architecture,Los Angeles, California,Private,Non-Profit,Large City,,60,49,60,100.0,,,,264,71,11,1,1,1,52,85.98484848484848,43800,11100,67750,17677
283,Bryan College of Health Sciences,bryan-college-of-health-sciences,Lincoln, Nebraska,Private,Non-Profit,Large City,,95,49,7,52.3,,,22.0,567,77,9,5,4,1,154,10.052910052910065,15190,10541,27966,3319
284,Hofstra University,hofstra-university,Hempstead, New York,Private,Non-Profit,Large Suburb,43000.0,55,42,45,63.9,,,26.0,6861,1172,13,110,71,21,1605,44.556187144731076,43960,14250,61260,24541
285,Saint Norbert College,saint-norbert-college,De Pere, Wisconsin,Private,Non-Profit,Midsize Suburb,,81,82,43,79.2,,,24.0,2067,171,13,61,43,20,490,12.868892114175141,36593,9467,48110,20123
286,University of Kentucky,university-of-kentucky,Lexington, Kentucky,Public,,Large City,38000.0,62,80,45,95.8,,,25.0,22425,1747,17,104,86,24,4920,24.593088071348944,11942,12858,29530,9387
287,Seton Hall University,seton-hall-university,South Orange, New Jersey,Private,Non-Profit,Large Suburb,45000.0,68,46,46,73.2,,,26.0,5969,1056,14,55,47,22,1671,52.5883732618529,40588,13502,57090,24710
288,Embry Riddle Aeronautical University - Prescott,embry-riddle-aeronautical-university-prescott,Prescott, Arizona,Private,Non-Profit,Rural,,23,67,76,76.5,,,26.0,2606,175,18,22,16,9,437,37.87413660782809,34662,10468,51036,15756
289,University of Detroit Mercy,university-of-detroit-mercy,Detroit, Michigan,Private,Non-Profit,Large City,47000.0,93,49,37,64.7,,,24.0,2843,673,10,50,45,20,673,42.03306366514246,41158,9452,57378,30390
290,Washington State University,washington-state-university,Pullman, Washington,Public,,Small Town,42000.0,83,75,48,73.1,,,23.0,25277,1766,15,149,110,27,5597,39.23725125608261,11391,11356,27249,8572
291,Saint Michael's College,saint-michaels-college,Colchester, Vermont,Private,Non-Profit,Midsize Suburb,,15,70,44,85.1,,,,1792,199,13,38,35,19,554,17.745535714285708,43640,11750,57560,23373
292,Presbyterian College,presbyterian-college,Clinton, South Carolina,Private,Non-Profit,Small Town,40000.0,72,77,49,65.2,,,24.0,1016,124,12,40,32,16,235,28.34645669291339,37842,10298,51910,31372
293,American University of Health Sciences,american-university-of-health-sciences,Signal Hill, California,Private,For-Profit,Large Suburb,,100,29,20,100.0,,,,249,28,16,2,2,1,63,94.77911646586344,21058,11816,38142,13060
294,Xavier University,xavier-university,Cincinnati, Ohio,Private,Non-Profit,Large City,,44,49,46,73.9,,,25.0,4634,741,11,77,57,24,1178,25.44238239102287,37230,12150,52380,20690
295,Emerson College,emerson-college,Boston, Massachusetts,Private,Non-Profit,Large City,40000.0,22,44,41,46.1,,,28.0,3812,454,15,23,13,8,964,34.52256033578173,43728,16992,64220,20323
296,Rutgers University - Camden,rutgers-university-camden,Camden, New Jersey,Public,,Small City,40000.0,98,45,41,69.3,,,,5489,701,14,39,36,18,1309,51.44835124795045,14501,12094,31082,12889
297,Thomas Aquinas College,thomas-aquinas-college,Santa Paula, California,Private,Non-Profit,Rural,,37,97,47,71.9,,,28.0,369,35,10,1,1,1,91,30.894308943089428,24500,7950,35786,14383
298,Concordia College at Moorhead,concordia-college-at-moorhead,Moorhead, Minnesota,Private,Non-Profit,Midsize Suburb,39000.0,71,73,42,61.6,,,25.0,2034,227,11,68,48,21,661,17.649950835791547,38378,8040,49488,23456
299,Oregon State University,oregon-state-university,Corvallis, Oregon,Public,,Small City,41000.0,72,76,54,78.8,,,25.0,25838,1802,18,86,74,23,5486,37.011378589674116,10797,11445,26046,8263
300,California State University Maritime Academy,california-maritime-academy,Vallejo, California,Public,,Midsize City,,84,76,82,66.4,,,,1050,94,13,7,7,6,237,51.52380952380952,7056,12807,28082,7716
301,University of South Florida - Main Campus,university-of-south-florida-main-campus,Tampa, Florida,Public,,Large City,37000.0,91,73,46,45.4,,,26.0,31772,1749,22,83,65,21,8548,51.90419237064082,6410,9700,21410,7937
302,University of Maryland - Baltimore County,university-of-maryland-baltimore-county,Baltimore, Maryland,Public,,Large Suburb,44000.0,94,65,55,60.2,,,26.0,11234,839,18,54,42,20,2665,58.874844222894794,11518,11836,27538,9402
303,Mercer University,mercer-university,Macon, Georgia,Private,Non-Profit,Midsize City,40000.0,83,58,38,73.3,,,28.0,4747,659,13,75,58,23,1062,52.18032441542026,24480,11315,39773,28528
304,Assumption College,assumption-college,Worcester, Massachusetts,Private,Non-Profit,Midsize City,40000.0,62,50,41,79.0,,,,2084,298,11,49,43,21,532,26.24760076775432,36260,12196,51256,20777
305,Illinois State University,illinois-state-university,Normal, Illinois,Public,,Midsize Suburb,39000.0,97,76,45,89.1,,,24.0,18330,1156,18,80,66,24,4766,25.09547190398255,12353,9850,27221,9124
306,CUNY Bernard M Baruch College,cuny-bernard-m-baruch-college,New York, New York,Public,,Large City,46000.0,96,43,51,29.2,,,,15253,1109,19,37,35,15,3565,78.90906706877334,7062,17926,31782,8944
307,Colorado State University - Fort Collins,colorado-state-university-fort-collins,Fort Collins, Colorado,Public,,Midsize City,,77,68,48,82.6,,,25.0,25523,2305,16,78,72,27,5332,28.28821063354621,11395,11974,25929,8221
308,Valparaiso University,valparaiso-university,Valparaiso, Indiana,Private,Non-Profit,Large Suburb,42000.0,43,72,45,84.3,,,26.0,3224,421,12,87,61,23,970,28.97022332506204,38760,11400,52980,26441
309,University of St. Thomas,university-of-st-thomas-texas,Houston, Texas,Private,Non-Profit,Large City,,96,52,39,80.9,,,24.0,1816,292,11,35,29,17,359,76.15638766519822,32660,8850,46506,23263
310,University at Albany,suny-at-albany,Albany, New York,Public,,Small City,,93,57,49,54.0,,,24.0,13508,1156,19,59,48,20,3382,55.2487414865265,9490,13464,25682,9096
311,Spelman College,spelman-college,Atlanta, Georgia,Private,Non-Profit,Large City,38000.0,26,72,0,40.1,,,24.0,2137,241,11,33,30,17,450,99.9064108563407,28181,13461,51642,13647
312,Arizona State University - Tempe,arizona-state-university,Tempe, Arizona,Public,,Midsize City,40000.0,65,79,57,84.2,,,26.0,42427,2577,20,92,70,23,9396,50.20623659462135,10792,12209,27530,12081
313,Lebanon Valley College,lebanon-valley-college,Annville, Pennsylvania,Private,Non-Profit,Small Suburb,,81,45,45,73.0,,,24.0,1756,265,10,45,41,19,469,19.589977220956726,42180,11460,57390,26230
314,University of Evansville,university-of-evansville,Evansville, Indiana,Private,Non-Profit,Midsize City,35000.0,63,65,44,70.0,,,26.0,2342,265,11,86,63,23,483,34.84201537147737,35396,12160,50870,26391
315,Baptist Memorial College of Health Sciences,baptist-memorial-college-of-health-sciences,Memphis, Tennessee,Private,Non-Profit,Large City,,80,100,10,53.7,,,24.0,1075,69,10,10,6,2,262,47.8139534883721,11542,3400,22757,10149
316,Bethel University Minnesota,bethel-university-minnesota,Saint Paul, Minnesota,Private,Non-Profit,Large Suburb,43000.0,80,49,38,83.5,,,24.0,2901,419,11,62,43,23,869,23.543605653223022,36210,10340,50350,19821
317,Pacific Lutheran University,pacific-lutheran-university,Tacoma, Washington,Private,Non-Profit,Large Suburb,39000.0,68,65,37,75.4,,,24.0,2766,344,11,51,40,20,772,37.56326825741142,40722,10520,54800,26984
318,The University of Alabama,the-university-of-alabama,Tuscaloosa, Alabama,Public,,Small City,,32,73,44,53.3,,,28.0,33305,1957,23,76,67,22,7059,21.936646149226846,10780,13324,29424,16494
319,University of Massachusetts - Lowell,university-of-massachusetts-lowell,Lowell, Massachusetts,Public,,Large Suburb,45000.0,88,55,62,68.8,,,26.0,14012,1122,17,46,41,20,2658,39.28775335426777,14800,12496,29918,9817
320,Point Loma Nazarene University,point-loma-nazarene-university,San Diego, California,Private,Non-Profit,Large City,38000.0,76,33,35,76.3,,,26.0,3100,430,14,62,48,22,785,46.70967741935483,34600,10150,49844,16687
321,California Lutheran University,california-lutheran-university,Thousand Oaks, California,Private,Non-Profit,Midsize City,41000.0,84,43,43,72.8,,,24.0,2963,445,16,33,32,19,772,55.484306446169434,41363,13320,59877,27282
322,Ramapo College of New Jersey,ramapo-college-of-new-jersey,Mahwah, New Jersey,Public,,Large Suburb,40000.0,96,47,45,57.4,,,24.0,5618,459,17,37,33,18,1393,36.187255250979,14080,12180,30839,11907
323,Chamberlain University - Texas,chamberlain-college-of-nursing-texas,Houston, Texas,Private,For-Profit,Large City,,100,17,14,50.0,,,,729,141,6,1,1,1,172,75.85733882030178,19500,11232,37892,7865
324,SUNY Maritime College,suny-maritime-college,Throggs Neck, New York,Public,,Large City,48000.0,74,62,88,69.5,,,24.0,1641,149,15,9,9,6,341,29.250457038391215,8074,12134,25308,7134
325,University of Arizona,university-of-arizona,Tucson, Arizona,Public,,Large City,41000.0,59,76,48,83.6,,,,34101,2249,15,167,111,29,7346,49.81085598662796,11624,12300,28024,11272
326,University of Dallas,university-of-dallas,Irving, Texas,Private,Non-Profit,Midsize City,,59,61,46,47.4,,,28.0,1450,233,11,30,23,15,346,38.75862068965517,38716,11960,54876,25952
327,Augustana University,augustana-college-south-dakota,Sioux Falls, South Dakota,Private,Non-Profit,Midsize City,37000.0,46,69,39,67.8,,,26.0,1749,207,12,53,43,20,488,16.123499142367066,31960,8008,45458,21816
328,Roger Williams University,roger-williams-university,Bristol, Rhode Island,Private,Non-Profit,Large Suburb,41000.0,12,40,47,82.3,,,,4703,538,14,71,60,26,1022,26.621305549649147,32510,15564,51874,13685
329,University of Washington - Bothell Campus,university-of-washington-bothell-campus,Bothell, Washington,Public,,Large Suburb,,98,66,51,80.1,,,22.0,5365,334,20,39,35,17,1592,61.379310344827594,10911,11259,26784,12946
330,Union University,union-university,Jackson, Tennessee,Private,Non-Profit,Small City,,70,60,34,60.0,,,26.0,2181,383,10,78,55,22,588,25.951398441082077,31510,10400,51790,24075
331,Hanover College,hanover-college,Hanover, Indiana,Private,Non-Profit,Small Town,,66,90,46,83.8,,,24.0,1089,90,13,33,30,18,272,24.150596877869607,36520,11230,50450,26000
332,University of Houston,university-of-houston,Houston, Texas,Public,,Large City,42000.0,97,86,50,61.1,,,25.0,37215,1706,22,91,73,23,6726,75.91025124277846,9706,9984,24946,9530
333,Westminster College Utah,westminster-college-utah,Salt Lake City, Utah,Private,Non-Profit,Midsize City,37000.0,52,36,41,92.7,,,24.0,2030,425,9,65,51,20,530,28.916256157635473,33560,9244,47484,20070
334,Christopher Newport University,christopher-newport-university,Newport News, Virginia,Public,,Midsize City,41000.0,94,62,44,72.4,,,,4954,448,15,20,20,16,1255,24.828421477593864,13654,11224,29680,5737
335,Gannon University,gannon-university,Erie, Pennsylvania,Private,Non-Profit,Small City,40000.0,68,59,44,79.9,,,23.0,3076,378,13,62,54,28,575,31.469440832249674,31842,11990,47456,21091
336,Mills College,mills-college,Oakland, California,Private,Non-Profit,Large City,,76,46,0,87.1,,,,761,176,10,41,31,18,232,58.73850197109067,46236,13614,63767,35560
337,University of North Dakota,university-of-north-dakota,Grand Forks, North Dakota,Public,,Small City,40000.0,37,69,56,83.5,,,24.0,11000,805,18,90,69,25,2288,19.89090909090909,8447,8548,21417,4640
338,Transylvania University,transylvania-university,Lexington, Kentucky,Private,Non-Profit,Large City,41000.0,76,80,40,95.5,,,,966,103,11,40,34,17,254,20.39337474120083,37290,10160,50550,21960
339,University of Wyoming,university-of-wyoming,Laramie, Wyoming,Public,,Small Town,39000.0,55,99,50,96.8,,,24.0,9791,732,15,91,68,25,2359,28.68961290981514,4443,10320,19003,7422
340,Bard College,bard-college,Annandale-On-Hudson, New York,Private,Non-Profit,Small Town,,33,61,41,58.2,,,,1938,339,9,7,7,5,459,42.569659442724465,52906,15066,70562,39096
341,Roanoke College,roanoke-college,Salem, Virginia,Private,Non-Profit,Midsize Suburb,38000.0,55,78,42,67.2,,,24.0,2035,212,11,36,32,19,487,20.0982800982801,42694,13258,59202,26726
342,St John's College,st-johns-college-maryland,Annapolis, Maryland,Private,Non-Profit,Large Suburb,,21,100,53,54.4,,,29.0,458,59,7,1,1,1,93,36.24454148471615,51795,12234,65409,33723
343,San Diego State University,san-diego-state-university,San Diego, California,Public,,Large City,40000.0,85,52,46,35.4,,,26.0,30272,1706,28,89,71,24,7308,66.70520613107823,7460,15966,28224,7549
344,Western New England University,western-new-england-university,Springfield, Massachusetts,Private,Non-Profit,Midsize City,,50,66,63,80.7,,,24.0,2736,367,12,59,46,22,593,26.4985380116959,35740,13442,52547,19211
345,Truman State University,truman-state-university,Kirksville, Missouri,Public,,Small Town,36000.0,83,87,41,67.5,,,27.0,5898,371,16,37,32,18,1268,20.752797558494407,7656,8638,21094,8778
346,Biola University,biola-university,La Mirada, California,Private,Non-Profit,Large Suburb,40000.0,76,57,36,72.0,,,24.0,4048,481,14,53,47,21,1034,53.85375494071146,38448,10972,54516,18028
347,Seattle Pacific University,seattle-pacific-university,Seattle, Washington,Private,Non-Profit,Large City,40000.0,59,53,33,90.9,,,24.0,2900,400,13,59,47,21,846,44.62068965517243,40902,11232,56494,23350
348,Nebraska Methodist College of Nursing & Allied Health,nebraska-methodist-college-of-nursing-and-allied-health,Omaha, Nebraska,Private,Non-Profit,Large City,,89,88,10,68.2,,,23.0,881,72,13,8,5,1,255,16.79909194097617,15672,9568,31400,5190
349,Regis University,regis-university,Denver, Colorado,Private,Non-Profit,Large City,49000.0,55,41,40,59.9,,,23.0,4084,779,13,50,43,21,1210,48.677766895200776,35610,10770,51202,21367
350,Misericordia University,misericordia-university,Dallas, Pennsylvania,Private,Non-Profit,Large Suburb,36000.0,63,46,33,78.8,,,24.0,2146,304,12,31,25,16,533,14.352283317800556,31660,13550,47460,18572
351,Clarkson College,clarkson-college,Omaha, Nebraska,Private,Non-Profit,Large City,,75,76,15,62.1,,,22.0,695,76,13,6,6,2,221,25.17985611510791,13032,7800,26602,6636
351,Clarkson College,clarkson-college,Omaha, Nebraska,Private,Non-Profit,Large City,,75,76,15,62.1,,,22.0,695,76,13,6,6,2,221,25.17985611510791,13032,7800,26602,6636
352,Knox College,knox-college,Galesburg, Illinois,Private,Non-Profit,Small Town,34000.0,57,80,43,71.6,,,,1356,151,11,39,31,16,359,53.09734513274336,44958,9696,56554,29331
353,Kansas State University,kansas-state-university,Manhattan, Kansas,Public,,Small City,40000.0,81,86,53,94.1,,,,18488,1266,18,87,76,28,4138,22.295543054954567,10135,9430,24339,6435
354,Belmont University,belmont-university,Nashville, Tennessee,Private,Non-Profit,Large City,36000.0,23,42,35,81.2,,,26.0,6497,842,14,81,59,24,1442,19.686008927197165,32820,11680,50740,13488
355,Coe College,coe-college,Cedar Rapids, Iowa,Private,Non-Profit,Midsize City,38000.0,40,60,44,56.2,,,25.0,1394,174,11,54,38,19,463,32.92682926829268,42430,9140,55240,31543
356,Whitworth University,whitworth-university,Spokane, Washington,Private,Non-Profit,Large Suburb,38000.0,63,61,40,89.0,,,26.0,2251,279,13,45,40,18,588,30.386494891159487,42186,11496,57824,26020
357,John Brown University,john-brown-university,Siloam Springs, Arkansas,Private,Non-Profit,Small Town,36000.0,40,38,43,75.8,,,26.0,1972,233,14,45,34,19,424,24.645030425963483,26144,9040,38834,15476
358,Wentworth Institute of Technology,wentworth-institute-of-technology,Boston, Massachusetts,Private,Non-Profit,Large City,43000.0,63,43,79,91.9,,,25.0,4265,372,17,24,23,8,899,38.49941383352872,34977,13844,54071,13455
359,South Dakota School of Mines and Technology,south-dakota-school-of-mines-and-technology,Rapid City, South Dakota,Public,,Small City,,47,86,78,83.4,,,26.0,2421,169,15,17,17,7,338,17.472118959107803,10400,8170,24590,4230
